id	PI3Ksign2_E001006_CD4Tcells_AZ4943_NS_KT_15	PI3Ksign2_E001006_CD4Tcells_AZ4943_S_KT_16	HUGO
ENST00000237289	0.0	0.0	TNFAIP3
ENST00000237305	0.0	0.0	SGK1
ENST00000237837	0.0	0.0	FGF23
ENST00000238341	0.0	0.0	CNTRL
ENST00000239461	0.0	0.0	PRRX1
ENST00000240587	0.0	0.0	TSHZ3
ENST00000240851	0.0	0.0	TFG
ENST00000241014	0.0	0.0	MAPK8IP1
ENST00000241393	0.0	0.0	CXCR4
ENST00000241416	0.0	0.0	ACVR2A
ENST00000241453	0.0	0.0	FLT3
ENST00000242066	0.0	0.0	ETV1
ENST00000243056	0.0	0.0	HOXC13
ENST00000243082	0.0	0.0	HOXC11
ENST00000244007	0.0	0.0	PLCG1
ENST00000244741	0.0	0.0	CDKN1A
ENST00000244776	0.0	0.0	DEK
ENST00000245441	0.0	0.0	NIN
ENST00000245479	0.0	0.0	SOX9
ENST00000246163	0.0	0.0	MAX
ENST00000246868	0.0	0.0	SBDS
ENST00000249373	0.0	0.0	SMO
ENST00000249504	0.0	0.0	HOXD11
ENST00000250003	0.0	0.0	MYOD1
ENST00000250066	0.0	0.0	USP6
ENST00000250448	0.0	0.0	FOXA1
ENST00000251849	0.0	0.0	RAF1
ENST00000252034	0.0	0.0	ELN
ENST00000252674	0.0	0.0	MLLT1
ENST00000252971	0.0	0.0	MNX1
ENST00000253144	0.0	0.0	ZNF331
ENST00000254066	0.0	0.0	RARA
ENST00000254108	0.0	0.0	FUS
ENST00000254322	0.0	0.0	DNAJB1
ENST00000254810	0.0	0.0	H3F3B
ENST00000256015	0.0	0.0	BTG1
ENST00000256078	0.0	0.0	KRAS
ENST00000256474	0.0	0.0	VHL
ENST00000256646	0.0	0.0	NOTCH2
ENST00000256996	0.0	0.0	DDB2
ENST00000257290	0.0	0.0	PDGFRA
ENST00000257430	0.0	0.0	APC
ENST00000257555	0.0	0.0	HNF1A
ENST00000257566	0.0	0.0	TBX3
ENST00000257818	0.0	0.0	LMO2
ENST00000257904	0.0	0.0	CDK4
ENST00000257963	0.0	0.0	ACVR1B
ENST00000258148	0.0	0.0	MDM2
ENST00000258149	0.0	0.0	MDM2
ENST00000258387	0.0	0.0	PAX3
ENST00000258439	0.0	0.0	TMEM127
ENST00000258743	0.0	0.0	IL6
ENST00000258829	0.0	0.0	NKX2-8
ENST00000258963	0.0	0.0	VEZF1
ENST00000259008	0.0	0.0	BRIP1
ENST00000259523	0.0	3676.72	MYC
ENST00000259915	0.0	0.0	POU5F1
ENST00000260777	0.0	0.0	KIAA1598
ENST00000260795	0.0	0.0	FGFR3
ENST00000260943	0.0	0.0	ERBB4
ENST00000261254	0.0	1078.27	CCND2
ENST00000261266	0.0	0.0	PTPRB
ENST00000261503	0.0	0.0	SPECC1
ENST00000261584	0.0	0.0	PALB2
ENST00000261733	0.0	0.0	ALDH2
ENST00000261769	0.0	0.0	CDH1
ENST00000261799	0.0	0.0	PDGFRB
ENST00000261822	0.0	0.0	BCL7A
ENST00000261937	0.0	0.0	FLT4
ENST00000262039	0.0	0.0	PIK3C3
ENST00000262053	0.0	0.0	ATF1
ENST00000262160	0.0	0.0	SMAD2
ENST00000262187	0.0	0.0	RHEB
ENST00000262189	0.0	0.0	KMT2C
ENST00000262320	0.0	0.0	AXIN1
ENST00000262367	0.0	0.0	CREBBP
ENST00000262643	0.0	0.0	CCNE1
ENST00000262662	0.0	0.0	CDKN2C
ENST00000262713	0.0	0.0	AJUBA
ENST00000262719	0.0	0.0	PHLPP1
ENST00000262809	0.0	0.0	ELL
ENST00000262948	0.0	0.0	MAP2K2
ENST00000262965	0.0	0.0	TCF3
ENST00000262992	0.0	0.0	INPP4B
ENST00000263025	0.0	0.0	MAPK3
ENST00000263056	0.0	0.0	MAP3K8
ENST00000263102	0.0	0.0	CCDC6
ENST00000263121	0.0	0.0	SMARCB1
ENST00000263253	0.0	0.0	EP300
ENST00000263334	0.0	0.0	PAX8
ENST00000263335	0.0	0.0	PAX8
ENST00000263377	0.0	0.0	BRD4
ENST00000263409	0.0	0.0	LIFR
ENST00000263464	0.0	0.0	BIRC3
ENST00000263519	0.0	0.0	ATP2B3
ENST00000263640	0.0	0.0	ACVR1
ENST00000263734	0.0	0.0	EPAS1
ENST00000263826	0.0	0.0	AKT3
ENST00000263918	0.0	0.0	STRN
ENST00000263921	0.0	0.0	CHIC2
ENST00000263923	0.0	0.0	KDR
ENST00000263967	0.0	0.0	PIK3CA
ENST00000263981	0.0	0.0	FBXW7
ENST00000264010	0.0	0.0	CTCF
ENST00000264033	0.0	0.0	CBL
ENST00000264122	0.0	0.0	CBLB
ENST00000264233	0.0	0.0	POLQ
ENST00000264274	0.0	0.0	CASP8
ENST00000264275	0.0	0.0	CASP8
ENST00000264335	0.0	0.0	YWHAE
ENST00000264498	0.0	0.0	FGF2
ENST00000264572	0.0	0.0	RAP1GDS1
ENST00000264640	0.0	0.0	SMARCE1
ENST00000264657	0.0	0.0	STAT3
ENST00000264664	0.0	0.0	FGF10
ENST00000264674	0.0	0.0	MECOM
ENST00000264709	0.0	0.0	DNMT3A
ENST00000264731	0.0	0.0	TP63
ENST00000264824	0.0	0.0	LYL1
ENST00000264932	0.0	0.0	SDHA
ENST00000265026	0.0	0.0	MAP3K13
ENST00000265081	0.0	0.0	MSH3
ENST00000265149	0.0	0.0	TET2
ENST00000265165	0.0	0.0	LEF1
ENST00000265277	0.0	0.0	SHOC2
ENST00000265343	0.0	0.0	AFF4
ENST00000265433	0.0	0.0	NBN
ENST00000265538	0.0	0.0	RHOA
ENST00000265620	0.0	0.0	GNAS
ENST00000265713	0.0	0.0	KAT6A
ENST00000265734	0.0	0.0	CDK6
ENST00000265814	0.0	0.0	RUNX1T1
ENST00000265849	0.0	0.0	PMS2
ENST00000265960	0.0	0.0	MAPKAP1
ENST00000266000	0.0	0.0	DAXX
ENST00000266427	0.0	0.0	ETV6
ENST00000266497	0.0	0.0	PIK3C2G
ENST00000266517	0.0	0.0	ETNK1
ENST00000267101	0.0	0.0	ERBB3
ENST00000267163	0.0	0.0	RB1
ENST00000267622	0.0	0.0	TRIP11
ENST00000267811	0.0	0.0	TCF12
ENST00000267843	0.0	0.0	FGF7
ENST00000268035	0.0	0.0	IGF1R
ENST00000268058	0.0	0.0	PML
ENST00000268059	0.0	0.0	PML
ENST00000268184	0.0	0.0	CRTC3
ENST00000268489	0.0	0.0	ZFHX3
ENST00000268603	0.0	0.0	CDH11
ENST00000268673	0.0	0.0	PDPK1
ENST00000268679	0.0	0.0	CBFA2T3
ENST00000268712	0.0	0.0	NCOR1
ENST00000269122	0.0	0.0	CLTC
ENST00000269137	0.0	0.0	SS18
ENST00000269138	0.0	0.0	SS18
ENST00000269305	0.0	0.0	TP53
ENST00000269571	0.0	0.0	ERBB2
ENST00000269886	0.0	0.0	SH3GL1
ENST00000270279	0.0	0.0	CBLC
ENST00000270722	0.0	0.0	PRDM16
ENST00000271526	0.0	0.0	PRCC
ENST00000271532	0.0	0.0	FCRL4
ENST00000271850	0.0	0.0	TPM3
ENST00000272928	0.0	0.0	ACKR3
ENST00000274376	0.0	0.0	RASA1
ENST00000274498	0.0	0.0	ARHGAP26
ENST00000275015	0.0	0.0	NFKBIE
ENST00000275262	0.0	0.0	QKI
ENST00000275493	0.0	0.0	EGFR
ENST00000276072	0.0	0.0	TAF1
ENST00000276079	0.0	0.0	NONO
ENST00000276659	0.0	0.0	RSPO2
ENST00000276925	0.0	0.0	CDKN2B
ENST00000277541	0.0	0.0	NOTCH1
ENST00000277945	0.0	0.0	TCF7L2
ENST00000278224	0.0	0.0	CARS
ENST00000278568	0.0	0.0	PAK1
ENST00000278616	0.0	0.0	ATM
ENST00000278916	0.0	0.0	CHEK1
ENST00000279873	0.0	0.0	ARID5B
ENST00000281043	0.0	0.0	MYCN
ENST00000281428	0.0	0.0	FLI1
ENST00000281708	0.0	0.0	FBXW7
ENST00000282030	0.0	0.0	SETBP1
ENST00000283195	0.0	0.0	RANBP2
ENST00000283928	0.0	0.0	JAZF1
ENST00000284073	0.0	0.0	MSI2
ENST00000284165	0.0	0.0	MAX
ENST00000285021	0.0	0.0	XPC
ENST00000285071	0.0	0.0	FLCN
ENST00000285398	0.0	0.0	ERCC3
ENST00000286234	0.0	0.0	DEPTOR
ENST00000286548	0.0	0.0	GNAQ
ENST00000286574	0.0	0.0	WIF1
ENST00000287239	0.0	0.0	KAT6B
ENST00000287598	0.0	0.0	BUB1B
ENST00000287647	0.0	0.0	FANCD2
ENST00000287820	0.0	0.0	PPARG
ENST00000287842	0.0	0.0	NRG1
ENST00000288135	0.0	0.0	KIT
ENST00000288139	0.0	0.0	CACNA1D
ENST00000288319	0.0	0.0	ERG
ENST00000288368	0.0	0.0	PREX2
ENST00000288599	0.0	0.0	NCOA1
ENST00000288602	0.0	0.0	BRAF
ENST00000289081	0.0	0.0	FANCC
ENST00000289104	0.0	0.0	MRAS
ENST00000289153	0.0	0.0	PIK3CB
ENST00000289316	0.0	0.0	HIST1H2BD
ENST00000289703	0.0	0.0	ELK4
ENST00000290277	0.0	0.0	ARAF
ENST00000290858	0.0	0.0	CBFB
ENST00000291552	0.0	0.0	U2AF1
ENST00000291825	0.0	0.0	PRX
ENST00000292408	0.0	0.0	FGFR4
ENST00000292535	0.0	0.0	CUX1
ENST00000292538	0.0	0.0	CUX1
ENST00000292782	0.0	0.0	DCUN1D1
ENST00000293328	1456.34	0.0	STAT5B
ENST00000294129	0.0	0.0	NCKIPSD
ENST00000294312	0.0	0.0	FGF19
ENST00000294339	0.0	0.0	TAL1
ENST00000294623	0.0	0.0	FUBP1
ENST00000295025	0.0	0.0	REL
ENST00000295148	0.0	0.0	C2orf44
ENST00000295598	0.0	0.0	ATP1A1
ENST00000295727	0.0	0.0	FEV
ENST00000295754	0.0	0.0	TGFBR2
ENST00000295920	0.0	0.0	GMPS
ENST00000296255	0.0	0.0	RPN1
ENST00000296288	0.0	0.0	BAP1
ENST00000296302	0.0	0.0	PBRM1
ENST00000296555	0.0	0.0	FBXW7
ENST00000296782	0.0	0.0	RICTOR
ENST00000296800	0.0	0.0	PRKAA1
ENST00000296869	0.0	0.0	ACSL6
ENST00000296921	0.0	0.0	TLX3
ENST00000296930	0.0	0.0	NPM1
ENST00000297316	0.0	0.0	SOX17
ENST00000297338	0.0	0.0	RAD21
ENST00000297564	0.0	0.0	COX6C
ENST00000298139	0.0	0.0	WRN
ENST00000298171	0.0	0.0	TSHR
ENST00000298552	0.0	0.0	TSC1
ENST00000298910	0.0	0.0	LRRK2
ENST00000299084	0.0	0.0	SPRED1
ENST00000299252	0.0	0.0	MDM2
ENST00000299613	0.0	0.0	WEE1
ENST00000300036	0.0	0.0	MYH11
ENST00000300131	0.0	0.0	NAB2
ENST00000300134	0.0	0.0	STAT6
ENST00000300302	0.0	0.0	HERPUD1
ENST00000300305	0.0	0.0	RUNX1
ENST00000300853	0.0	0.0	ERCC1
ENST00000300933	0.0	0.0	TPM4
ENST00000301067	0.0	0.0	KMT2D
ENST00000301323	0.0	0.0	RECQL4
ENST00000301724	0.0	0.0	MLST8
ENST00000301761	0.0	0.0	SDHAF2
ENST00000302206	0.0	0.0	TPM3
ENST00000302326	0.0	0.0	MN1
ENST00000302342	0.0	0.0	ZNF217
ENST00000302345	0.0	0.0	CANT1
ENST00000302418	0.0	0.0	KIF5B
ENST00000302528	0.0	0.0	CLIP1
ENST00000302731	0.0	0.0	CLP1
ENST00000303115	0.0	0.0	IL7R
ENST00000303407	0.0	0.0	BRD3
ENST00000303577	0.0	0.0	PCBP1
ENST00000303635	0.0	0.0	CAMTA1
ENST00000303759	0.0	0.0	CHCHD7
ENST00000304494	0.0	0.0	CDKN2A
ENST00000304808	0.0	0.0	PAFAH1B2
ENST00000305699	0.0	0.0	FANCA
ENST00000305737	0.0	0.0	TET2
ENST00000305768	0.0	0.0	CEP89
ENST00000305877	0.0	0.0	BCR
ENST00000305921	0.0	0.0	PPM1D
ENST00000306058	0.0	0.0	ASXL1
ENST00000306090	0.0	0.0	GNAS
ENST00000306120	0.0	0.0	GNAS
ENST00000306376	0.0	0.0	ETV5
ENST00000306729	0.0	0.0	ASPSCR1
ENST00000306739	0.0	0.0	ASPSCR1
ENST00000306801	0.0	0.0	RPTOR
ENST00000306932	0.0	0.0	FIP1L1
ENST00000307063	0.0	0.0	PWWP2A
ENST00000307078	0.0	0.0	AXIN2
ENST00000307102	0.0	0.0	MAP2K1
ENST00000307179	0.0	0.0	USP8
ENST00000307602	0.0	0.0	HOOK3
ENST00000307677	0.0	0.0	BCL2L1
ENST00000307729	0.0	0.0	MLLT10
ENST00000307771	0.0	0.0	ZRSR2
ENST00000307808	0.0	0.0	AFF1
ENST00000307940	0.0	0.0	MCL1
ENST00000308167	0.0	0.0	ELF4
ENST00000308677	0.0	0.0	PRKACA
ENST00000308731	0.0	0.0	BTK
ENST00000309334	0.0	0.0	ARID5B
ENST00000309576	0.0	0.0	PPARG
ENST00000310581	0.0	0.0	TERT
ENST00000311189	0.0	0.0	HRAS
ENST00000311278	0.0	0.0	AKT2
ENST00000311420	0.0	0.0	MDM2
ENST00000311487	0.0	0.0	HMGA1
ENST00000311559	0.0	0.0	CYLD
ENST00000311895	0.0	0.0	ERCC4
ENST00000311936	0.0	0.0	KRAS
ENST00000312049	0.0	0.0	MEN1
ENST00000312087	0.0	0.0	WHSC1
ENST00000312465	0.0	0.0	FGF5
ENST00000312499	0.0	0.0	RMI2
ENST00000312629	0.0	0.0	RPS6KB2
ENST00000312970	0.0	0.0	TPM3
ENST00000312990	0.0	0.0	CDK4
ENST00000313431	0.0	0.0	PDE4DIP
ENST00000313559	0.0	0.0	HMGN2P46
ENST00000313708	0.0	0.0	EBF1
ENST00000313771	0.0	0.0	FAS
ENST00000313949	0.0	0.0	GNAS
ENST00000314557	0.0	0.0	MITF
ENST00000314589	0.0	0.0	MITF
ENST00000315266	0.0	0.0	GPHN
ENST00000315377	0.0	0.0	RPS6
ENST00000315422	0.0	0.0	MEN1
ENST00000315741	0.0	0.0	RPL5
ENST00000315869	0.0	0.0	TFE3
ENST00000315985	0.0	0.0	PPP2R2A
ENST00000316448	0.0	0.0	CALR
ENST00000316528	0.0	0.0	MYB
ENST00000316707	0.0	0.0	PTPN13
ENST00000316981	0.0	0.0	PLAG1
ENST00000316985	0.0	0.0	WHSC1L1
ENST00000317025	0.0	0.0	WHSC1L1
ENST00000317216	0.0	0.0	EGR3
ENST00000317233	0.0	0.0	AFF3
ENST00000317276	0.0	0.0	PER1
ENST00000317501	0.0	0.0	NTRK3
ENST00000318008	0.0	0.0	LASP1
ENST00000318304	0.0	0.0	PPFIBP1
ENST00000318493	0.0	0.0	MET
ENST00000318522	0.0	0.0	EML4
ENST00000318560	0.0	0.0	ABL1
ENST00000318779	0.0	0.0	FOXP1
ENST00000318789	0.0	0.0	FOXP1
ENST00000318974	0.0	0.0	PTPN6
ENST00000319349	0.0	0.0	ETV4
ENST00000319584	0.0	0.0	ARID1B
ENST00000319769	0.0	0.0	B4GALT3
ENST00000319770	0.0	0.0	ZNF384
ENST00000319921	0.0	0.0	RNF213
ENST00000320185	0.0	0.0	FGF8
ENST00000320356	0.0	0.0	EZH2
ENST00000320399	0.0	0.0	ELN
ENST00000320472	0.0	0.0	TP63
ENST00000320492	0.0	0.0	ELN
ENST00000320574	0.0	0.0	POLE
ENST00000320694	0.0	0.0	PIK3R1
ENST00000320743	0.0	0.0	LRIG3
ENST00000320934	0.0	0.0	PCSK7
ENST00000321117	0.0	0.0	DNMT3A
ENST00000321945	0.0	0.0	FAM175A
ENST00000321949	0.0	0.0	CRTC1
ENST00000322030	0.0	0.0	SET
ENST00000322088	0.0	0.0	PPP2R1A
ENST00000322213	0.0	0.0	SMC1A
ENST00000322266	0.0	0.0	MAPK3
ENST00000322536	0.0	0.0	DDX10
ENST00000322652	0.0	0.0	SUZ12
ENST00000322684	0.0	0.0	MSI2
ENST00000323076	0.0	0.0	LCP1
ENST00000323144	0.0	0.0	TPM3
ENST00000323441	0.0	0.0	HIF1A
ENST00000323492	0.0	0.0	CASP8
ENST00000323816	0.0	0.0	GAS7
ENST00000323851	0.0	0.0	NDRG1
ENST00000323963	0.0	0.0	EIF4A2
ENST00000324001	0.0	0.0	PRX
ENST00000324288	0.0	0.0	CIITA
ENST00000324330	0.0	0.0	NIN
ENST00000324545	0.0	0.0	USP9X
ENST00000324771	0.0	0.0	DDR1
ENST00000324856	0.0	0.0	ARID1A
ENST00000324932	0.0	0.0	NUP98
ENST00000325083	0.0	0.0	PCM1
ENST00000325321	0.0	0.0	KLK2
ENST00000325404	0.0	0.0	SOX2
ENST00000326043	0.0	0.0	MAF
ENST00000326181	0.0	0.0	TRAF7
ENST00000326324	0.0	0.0	FGFR1
ENST00000326575	0.0	0.0	KDSR
ENST00000326873	0.0	0.0	STK11
ENST00000327367	0.0	0.0	SMAD3
ENST00000327470	0.0	0.0	FANCF
ENST00000327483	0.0	0.0	CBFA2T3
ENST00000327578	0.0	0.0	PCM1
ENST00000327590	0.0	0.0	FOXP1
ENST00000327773	0.0	0.0	GAS6
ENST00000328159	0.0	0.0	TPM3
ENST00000328354	0.0	0.0	CHEK2
ENST00000328528	0.0	0.0	MITF
ENST00000328850	0.0	0.0	FES
ENST00000329047	0.0	0.0	SEPT9
ENST00000329236	0.0	0.0	RBM10
ENST00000329613	0.0	0.0	TSHZ2
ENST00000330022	0.0	0.0	SETD2
ENST00000330062	0.0	0.0	IDH2
ENST00000330188	0.0	0.0	TPM3
ENST00000330258	0.0	0.0	AMER1
ENST00000330315	0.0	0.0	FOXL2
ENST00000330387	0.0	0.0	CREB3L2
ENST00000330684	0.0	0.0	GRIN2A
ENST00000330847	0.0	0.0	NR4A3
ENST00000331029	0.0	0.0	EWSR1
ENST00000331163	0.0	0.0	PDGFB
ENST00000331340	0.0	0.0	IKZF1
ENST00000331758	0.0	0.0	SS18L1
ENST00000331920	0.0	0.0	PTCH1
ENST00000331941	0.0	0.0	CSF3R
ENST00000332029	0.0	0.0	SOCS1
ENST00000332035	0.0	0.0	EWSR1
ENST00000332050	0.0	0.0	EWSR1
ENST00000332070	0.0	0.0	PHF6
ENST00000332149	0.0	0.0	TMPRSS2
ENST00000332351	0.0	0.0	WT1
ENST00000332556	0.0	0.0	LAMP1
ENST00000333070	0.0	0.0	LCK
ENST00000333337	0.0	0.0	OLIG2
ENST00000333395	0.0	0.0	EWSR1
ENST00000333467	0.0	0.0	APOBEC3B
ENST00000333646	0.0	0.0	MED12
ENST00000333681	0.0	0.0	BCL2
ENST00000333725	0.0	0.0	TCF12
ENST00000333756	0.0	0.0	NUTM1
ENST00000334077	0.0	0.0	TAL2
ENST00000334134	0.0	0.0	FGF3
ENST00000334344	0.0	0.0	ARID2
ENST00000334414	0.0	0.0	PTPRB
ENST00000334602	0.0	0.0	TERT
ENST00000334701	0.0	0.0	HSP90AA1
ENST00000334801	0.0	0.0	BCL9L
ENST00000334961	0.0	0.0	NF2
ENST00000334975	0.0	0.0	KTN1
ENST00000335110	0.0	0.0	FAT4
ENST00000335148	0.0	0.0	ETNK1
ENST00000335508	0.0	0.0	SF3B1
ENST00000335712	0.0	0.0	BCL11A
ENST00000335760	0.0	0.0	APOBEC3B
ENST00000335790	0.0	0.0	LMO1
ENST00000335858	0.0	0.0	RAD51D
ENST00000335922	0.0	0.0	FGFR1
ENST00000335953	0.0	0.0	ZBTB16
ENST00000335997	0.0	0.0	ELF4
ENST00000336199	0.0	0.0	AKT3
ENST00000336483	0.0	0.0	PIK3R1
ENST00000336486	0.0	0.0	NFKB2
ENST00000336553	0.0	0.0	FGFR2
ENST00000336596	0.0	0.0	EPHA3
ENST00000336777	0.0	0.0	SSX2
ENST00000336840	0.0	0.0	PAX3
ENST00000336890	0.0	0.0	LCK
ENST00000336909	0.0	0.0	IL6ST
ENST00000336926	0.0	0.0	HIP1
ENST00000337138	0.0	0.0	HIF1A
ENST00000337147	0.0	0.0	EZR
ENST00000337299	0.0	0.0	COL2A1
ENST00000337303	0.0	0.0	PBRM1
ENST00000337432	0.0	0.0	RAD51C
ENST00000337488	0.0	0.0	FIP1L1
ENST00000337502	0.0	0.0	SSX2
ENST00000337604	0.0	0.0	MUC1
ENST00000337652	0.0	0.0	MEN1
ENST00000337706	0.0	0.0	FGF1
ENST00000337817	0.0	0.0	STIL
ENST00000337919	0.0	0.0	HEY1
ENST00000337929	0.0	0.0	IL21R
ENST00000338270	0.0	0.0	ERAS
ENST00000338350	0.0	0.0	KCNJ5
ENST00000338488	0.0	0.0	NR4A3
ENST00000338641	0.0	0.0	NF2
ENST00000338684	0.0	0.0	MUC1
ENST00000338783	0.0	0.0	GNAS
ENST00000338797	0.0	0.0	CRTC1
ENST00000338799	0.0	0.0	ESR1
ENST00000339290	0.0	0.0	MYB
ENST00000339360	0.0	0.0	RAP1GDS1
ENST00000339403	0.0	0.0	CASP8
ENST00000339436	0.0	0.0	SRSF3
ENST00000340058	0.0	0.0	RET
ENST00000340107	0.0	0.0	FGFR3
ENST00000340192	0.0	0.0	ERCC1
ENST00000340398	0.0	0.0	H3F3C
ENST00000340699	0.0	0.0	PBX1
ENST00000341105	0.0	0.0	GATA2
ENST00000341259	0.0	0.0	SH2B3
ENST00000341372	0.0	0.0	TPM3
ENST00000341458	0.0	0.0	SGK2
ENST00000341462	0.0	0.0	FGFR1
ENST00000341485	0.0	0.0	TPM3
ENST00000341505	0.0	0.0	CBLC
ENST00000341558	0.0	0.0	FOXO4
ENST00000341653	0.0	0.0	MAX
ENST00000341848	0.0	0.0	FHIT
ENST00000341911	0.0	0.0	MYB
ENST00000341923	0.0	0.0	RABEP1
ENST00000342075	0.0	0.0	PMS1
ENST00000342085	0.0	0.0	PDPK1
ENST00000342222	0.0	0.0	IKBKB
ENST00000342274	0.0	0.0	BCOR
ENST00000342443	0.0	0.0	TSHR
ENST00000342482	0.0	0.0	MUC1
ENST00000342505	0.0	0.0	JAK1
ENST00000342531	0.0	0.0	NUTM2B
ENST00000342556	0.0	0.0	NAB2
ENST00000342751	0.0	0.0	SDHC
ENST00000342788	0.0	0.0	ERBB4
ENST00000342916	0.0	0.0	EGFR
ENST00000342988	0.0	0.0	SMAD4
ENST00000343256	0.0	0.0	MUC1
ENST00000343289	0.0	0.0	NT5C2
ENST00000343317	0.0	0.0	TFEB
ENST00000343455	0.0	0.0	DICER1
ENST00000343483	0.0	0.0	HOXA9
ENST00000343526	0.0	0.0	TRIM24
ENST00000343529	0.0	0.0	RELN
ENST00000343574	0.0	0.0	IKZF1
ENST00000343631	0.0	0.0	EXT2
ENST00000343677	0.0	0.0	HIST1H1C
ENST00000343742	0.0	0.0	LRRK2
ENST00000343827	0.0	0.0	TCF12
ENST00000343882	0.0	0.0	FOXO3
ENST00000343984	0.0	0.0	SEPT6
ENST00000344114	0.0	0.0	HERPUD1
ENST00000344175	0.0	0.0	AKT1S1
ENST00000344191	0.0	0.0	MLLT4
ENST00000344255	0.0	0.0	FGF8
ENST00000344493	0.0	0.0	PAX3
ENST00000344576	0.0	0.0	EGFR
ENST00000344624	0.0	0.0	DROSHA
ENST00000344626	0.0	0.0	SMARCA4
ENST00000344691	0.0	0.0	RUNX1
ENST00000344730	0.0	0.0	ABL2
ENST00000344746	0.0	0.0	RPL10
ENST00000344749	0.0	0.0	TCF3
ENST00000344824	0.0	0.0	TPM4
ENST00000344865	0.0	0.0	ASPSCR1
ENST00000344921	0.0	0.0	SMARCB1
ENST00000344954	0.0	0.0	FLI1
ENST00000345146	0.0	0.0	IDH1
ENST00000345365	0.0	0.0	RAD51D
ENST00000345392	0.0	0.0	VHL
ENST00000345514	0.0	0.0	BCL11B
ENST00000345714	0.0	0.0	SGK3
ENST00000345724	0.0	0.0	MALT1
ENST00000345781	0.0	0.0	RBM10
ENST00000346085	0.0	0.0	ARID1B
ENST00000346198	0.0	0.0	TCF7L2
ENST00000346208	0.0	0.0	GATA3
ENST00000346473	0.0	0.0	DDIT3
ENST00000346667	0.0	0.0	IKZF1
ENST00000346714	0.0	0.0	FGF8
ENST00000346832	0.0	0.0	ABI1
ENST00000346991	0.0	0.0	CASC5
ENST00000346997	0.0	0.0	FGFR2
ENST00000347559	0.0	0.0	LMNA
ENST00000347617	0.0	0.0	HMGA1
ENST00000347630	0.0	0.0	SPOP
ENST00000347735	0.0	0.0	ERC1
ENST00000347978	0.0	0.0	FGF8
ENST00000347982	0.0	0.0	NSD1
ENST00000348035	0.0	0.0	RAC1
ENST00000348295	0.0	0.0	CHEK2
ENST00000348332	0.0	0.0	NCOA1
ENST00000348428	0.0	0.0	MALT1
ENST00000348513	0.0	0.0	SMARCE1
ENST00000348564	0.0	0.0	PTPRC
ENST00000348715	0.0	0.0	PAX8
ENST00000348801	0.0	0.0	MDM2
ENST00000349036	0.0	0.0	GNAS
ENST00000349155	0.0	0.0	TBX3
ENST00000349264	0.0	0.0	B2M
ENST00000349310	0.0	0.0	AKT1
ENST00000349466	0.0	0.0	ATP2B3
