#Insert size (bp)	insert size
215.0	237.0
216.0	255.0
217.0	233.0
218.0	216.0
219.0	225.0
220.0	235.0
221.0	227.0
222.0	248.0
223.0	223.0
224.0	226.0
225.0	226.0
226.0	223.0
227.0	241.0
228.0	231.0
229.0	261.0
230.0	226.0
231.0	222.0
232.0	237.0
233.0	234.0
234.0	215.0
235.0	240.0
236.0	227.0
237.0	222.0
238.0	251.0
239.0	242.0
240.0	230.0
241.0	228.0
242.0	229.0
243.0	259.0
244.0	263.0
245.0	265.0
246.0	221.0
247.0	249.0
248.0	270.0
249.0	237.0
250.0	236.0
251.0	213.0
252.0	225.0
253.0	269.0
254.0	215.0
255.0	230.0
256.0	255.0
257.0	229.0
258.0	236.0
259.0	246.0
260.0	245.0
261.0	214.0
262.0	235.0
263.0	291.0
264.0	236.0
265.0	272.0
266.0	263.0
267.0	290.0
268.0	282.0
269.0	276.0
270.0	237.0
271.0	274.0
272.0	264.0
273.0	259.0
274.0	298.0
275.0	272.0
276.0	265.0
277.0	285.0
278.0	267.0
279.0	289.0
280.0	281.0
281.0	292.0
282.0	284.0
283.0	314.0
284.0	303.0
285.0	332.0
286.0	319.0
287.0	293.0
288.0	317.0
289.0	296.0
290.0	348.0
291.0	338.0
292.0	318.0
293.0	351.0
294.0	324.0
295.0	379.0
296.0	326.0
297.0	377.0
298.0	381.0
299.0	360.0
300.0	377.0
301.0	376.0
302.0	422.0
303.0	468.0
304.0	455.0
305.0	522.0
306.0	510.0
307.0	604.0
308.0	578.0
309.0	652.0
310.0	732.0
311.0	778.0
312.0	813.0
313.0	868.0
314.0	951.0
315.0	1116.0
316.0	1229.0
317.0	1425.0
318.0	1553.0
319.0	1830.0
320.0	1954.0
321.0	2200.0
322.0	2446.0
323.0	2825.0
324.0	3120.0
325.0	3471.0
326.0	3835.0
327.0	4228.0
328.0	4751.0
329.0	5188.0
330.0	5777.0
331.0	6322.0
332.0	6794.0
333.0	7266.0
334.0	7839.0
335.0	8156.0
336.0	8492.0
337.0	8921.0
338.0	8943.0
339.0	9305.0
340.0	9347.0
341.0	9295.0
342.0	9599.0
343.0	9638.0
344.0	9588.0
345.0	9909.0
346.0	9507.0
347.0	9490.0
348.0	9366.0
349.0	9327.0
350.0	9436.0
351.0	9393.0
352.0	9205.0
353.0	9054.0
354.0	8676.0
355.0	8686.0
356.0	8460.0
357.0	8301.0
358.0	7920.0
359.0	7674.0
360.0	7286.0
361.0	6811.0
362.0	6344.0
363.0	5985.0
364.0	5345.0
365.0	4766.0
366.0	4255.0
367.0	3657.0
368.0	3178.0
369.0	2714.0
370.0	2351.0
371.0	1879.0
372.0	1526.0
373.0	1228.0
374.0	954.0
375.0	768.0
376.0	609.0
377.0	460.0
378.0	373.0
379.0	307.0
380.0	269.0
381.0	175.0
382.0	195.0
383.0	168.0
384.0	158.0
385.0	153.0
386.0	147.0
387.0	135.0
388.0	117.0
389.0	121.0
390.0	145.0
391.0	149.0
392.0	134.0
393.0	143.0
394.0	138.0
395.0	124.0
396.0	141.0
397.0	130.0
398.0	132.0
399.0	135.0
400.0	121.0
401.0	117.0
402.0	100.0
403.0	96.0
404.0	121.0
405.0	104.0
406.0	137.0
407.0	127.0
408.0	111.0
409.0	103.0
410.0	114.0
411.0	110.0
412.0	99.0
413.0	117.0
414.0	117.0
415.0	102.0
416.0	93.0
417.0	104.0
418.0	110.0
419.0	92.0
420.0	118.0
421.0	108.0
422.0	105.0
423.0	140.0
424.0	104.0
425.0	79.0
426.0	94.0
427.0	75.0
428.0	88.0
429.0	101.0
430.0	112.0
431.0	81.0
432.0	84.0
433.0	85.0
434.0	87.0
435.0	82.0
436.0	96.0
437.0	77.0
438.0	83.0
439.0	80.0
440.0	69.0
441.0	82.0
442.0	88.0
443.0	81.0
444.0	73.0
445.0	75.0
446.0	63.0
447.0	90.0
448.0	71.0
449.0	67.0
450.0	73.0
451.0	57.0
452.0	65.0
453.0	73.0
454.0	65.0
455.0	56.0
456.0	66.0
457.0	62.0
458.0	50.0
459.0	51.0
460.0	67.0
461.0	79.0
462.0	91.0
463.0	72.0
464.0	81.0
465.0	69.0
466.0	64.0
467.0	77.0
468.0	54.0
469.0	62.0
470.0	77.0
471.0	59.0
472.0	50.0
473.0	58.0
474.0	74.0
475.0	49.0
476.0	55.0
477.0	41.0
478.0	58.0
479.0	66.0
480.0	55.0
481.0	46.0
482.0	62.0
483.0	67.0
484.0	55.0
485.0	46.0
486.0	57.0
487.0	52.0
488.0	46.0
489.0	44.0
490.0	55.0
491.0	52.0
492.0	66.0
493.0	62.0
494.0	54.0
495.0	45.0
496.0	61.0
497.0	54.0
498.0	47.0
499.0	42.0
500.0	52.0
501.0	46.0
502.0	42.0
503.0	45.0
504.0	55.0
505.0	45.0
506.0	45.0
507.0	45.0
508.0	44.0
509.0	54.0
510.0	39.0
511.0	30.0
512.0	39.0
513.0	39.0
514.0	47.0
515.0	37.0
516.0	31.0
517.0	36.0
518.0	45.0
519.0	34.0
520.0	31.0
521.0	39.0
522.0	51.0
523.0	43.0
524.0	30.0
525.0	30.0
526.0	39.0
527.0	31.0
528.0	36.0
529.0	34.0
530.0	32.0
531.0	32.0
532.0	34.0
533.0	29.0
534.0	25.0
535.0	27.0
536.0	28.0
537.0	29.0
538.0	27.0
539.0	32.0
540.0	31.0
541.0	27.0
542.0	27.0
543.0	27.0
544.0	36.0
545.0	26.0
546.0	25.0
547.0	24.0
548.0	32.0
549.0	24.0
550.0	23.0
551.0	35.0
552.0	19.0
553.0	27.0
554.0	24.0
555.0	20.0
556.0	27.0
557.0	22.0
558.0	27.0
559.0	16.0
560.0	19.0
561.0	25.0
562.0	11.0
563.0	17.0
564.0	21.0
565.0	11.0
566.0	20.0
567.0	10.0
568.0	25.0
569.0	26.0
570.0	21.0
571.0	18.0
572.0	15.0
573.0	18.0
574.0	10.0
575.0	23.0
576.0	16.0
577.0	16.0
578.0	15.0
579.0	18.0
580.0	17.0
581.0	13.0
582.0	15.0
583.0	11.0
584.0	20.0
585.0	20.0
586.0	17.0
587.0	19.0
588.0	17.0
589.0	15.0
590.0	19.0
591.0	12.0
592.0	23.0
593.0	16.0
594.0	20.0
595.0	15.0
596.0	11.0
597.0	10.0
598.0	14.0
599.0	8.0
600.0	16.0
601.0	16.0
602.0	16.0
603.0	7.0
604.0	12.0
605.0	13.0
606.0	15.0
607.0	7.0
608.0	14.0
609.0	12.0
610.0	9.0
611.0	10.0
612.0	12.0
613.0	13.0
614.0	18.0
615.0	14.0
616.0	9.0
617.0	9.0
618.0	8.0
619.0	12.0
620.0	11.0
621.0	7.0
622.0	11.0
623.0	8.0
624.0	12.0
625.0	7.0
626.0	8.0
627.0	10.0
628.0	8.0
629.0	9.0
630.0	5.0
631.0	10.0
632.0	9.0
633.0	8.0
634.0	9.0
635.0	11.0
636.0	9.0
637.0	8.0
638.0	10.0
639.0	10.0
640.0	10.0
641.0	13.0
642.0	11.0
643.0	6.0
644.0	8.0
645.0	7.0
646.0	10.0
647.0	11.0
648.0	3.0
649.0	6.0
650.0	6.0
651.0	5.0
652.0	5.0
653.0	5.0
654.0	11.0
655.0	5.0
656.0	5.0
657.0	6.0
658.0	12.0
659.0	6.0
660.0	7.0
661.0	6.0
662.0	6.0
663.0	5.0
664.0	6.0
665.0	4.0
666.0	10.0
667.0	6.0
668.0	1.0
669.0	9.0
670.0	6.0
671.0	6.0
672.0	6.0
673.0	3.0
674.0	5.0
675.0	4.0
676.0	5.0
677.0	2.0
678.0	5.0
679.0	5.0
680.0	1.0
681.0	3.0
682.0	4.0
683.0	5.0
684.0	4.0
685.0	3.0
686.0	2.0
687.0	3.0
688.0	4.0
689.0	13.0
690.0	2.0
691.0	3.0
692.0	2.0
693.0	1.0
694.0	3.0
695.0	3.0
696.0	6.0
697.0	3.0
698.0	2.0
699.0	1.0
701.0	5.0
702.0	1.0
703.0	2.0
704.0	3.0
705.0	3.0
706.0	1.0
707.0	2.0
708.0	3.0
709.0	1.0
710.0	3.0
