Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
82	28.5592957104	33.0	30.0	35.0	2.0	36.0	syn3-tumor
84	28.4595203452	33.0	30.5	35.0	2.0	36.0	syn3-tumor
86	28.1411045729	33.0	29.5	35.0	2.0	36.0	syn3-tumor
88	27.9128570242	33.0	29.5	35.0	2.0	36.0	syn3-tumor
90	27.7107897502	33.0	29.5	35.0	2.0	36.0	syn3-tumor
92	27.3010504653	33.0	28.5	35.0	2.0	36.0	syn3-tumor
94	26.9160826704	33.0	28.0	35.0	2.0	35.5	syn3-tumor
96	26.326302398	32.0	27.0	34.5	2.0	35.0	syn3-tumor
98	25.3786137044	32.0	24.0	34.0	2.0	35.0	syn3-tumor
100	24.1371267958	31.5	11.0	33.5	2.0	35.0	syn3-tumor
1	27.9284335241	27.0	26.0	32.0	26.0	33.0	syn3-normal
2	30.2083098527	32.0	30.0	33.0	27.0	33.0	syn3-normal
3	30.5819935883	32.0	31.0	33.0	27.0	34.0	syn3-normal
4	29.8840802025	32.0	30.0	33.0	24.0	34.0	syn3-normal
5	30.468585866	32.0	30.0	33.0	26.0	35.0	syn3-normal
6	30.5306394853	32.0	30.0	33.0	26.0	35.0	syn3-normal
7	30.3723915194	33.0	30.0	33.0	25.0	35.0	syn3-normal
8	30.325841941	33.0	30.0	34.0	25.0	35.0	syn3-normal
9	30.5526352528	33.0	31.0	34.0	25.0	35.0	syn3-normal
10	30.7115940228	33.0	31.0	34.0	26.0	35.0	syn3-normal
12	30.5608541907	33.0	31.0	34.0	25.0	35.0	syn3-normal
14	30.8508481978	33.0	31.0	34.0	26.0	35.0	syn3-normal
16	30.6668904068	33.0	31.5	34.0	25.0	35.0	syn3-normal
18	30.8730916827	33.0	32.0	34.0	26.0	35.0	syn3-normal
20	30.9114052979	33.0	32.0	34.0	26.0	35.0	syn3-normal
22	30.8996106326	33.0	32.0	34.0	26.0	35.0	syn3-normal
24	30.7834137492	33.0	31.5	34.0	25.0	35.0	syn3-normal
26	30.8144639686	33.0	32.0	34.0	24.5	35.0	syn3-normal
28	30.5832194061	33.0	32.0	34.0	23.5	35.0	syn3-normal
30	30.6164580371	33.0	31.5	34.5	23.5	35.0	syn3-normal
32	30.3623897008	33.0	31.5	35.0	21.5	35.0	syn3-normal
34	30.2447176727	33.0	31.0	34.5	21.5	35.0	syn3-normal
36	30.3843136299	33.0	31.5	34.5	22.5	35.0	syn3-normal
38	30.2095082616	33.0	31.0	35.0	21.0	35.0	syn3-normal
40	30.3823462282	33.0	31.0	35.0	22.0	35.0	syn3-normal
42	30.2480714634	33.0	31.0	35.0	21.0	35.0	syn3-normal
44	30.1903728034	33.0	31.0	35.0	20.5	35.0	syn3-normal
46	30.1572372169	33.0	31.0	35.0	20.0	35.0	syn3-normal
48	30.0073875769	33.0	31.0	35.0	18.5	35.0	syn3-normal
50	29.5335964092	33.0	31.0	35.0	11.0	35.0	syn3-normal
52	29.7971415953	33.0	31.0	35.0	15.5	35.0	syn3-normal
54	29.9113295738	33.0	31.0	35.0	14.5	35.0	syn3-normal
56	29.7779775419	33.0	31.0	35.0	11.5	35.0	syn3-normal
58	29.4410683858	33.0	30.5	35.0	9.5	35.0	syn3-normal
60	29.6546250119	33.0	31.0	35.0	7.0	35.0	syn3-normal
62	29.5080989169	33.0	31.0	35.0	2.0	35.0	syn3-normal
64	29.5661936078	33.0	31.5	35.0	2.0	35.0	syn3-normal
66	29.391567914	33.0	31.0	35.0	2.0	35.0	syn3-normal
68	29.2030450104	33.0	31.0	35.0	2.0	35.0	syn3-normal
70	28.8070802047	33.0	30.5	35.0	2.0	35.0	syn3-normal
72	29.0089877457	33.0	30.5	35.0	2.0	36.0	syn3-normal
74	28.9723566756	33.0	30.5	35.0	2.0	36.0	syn3-normal
76	28.6005098056	33.0	30.0	35.0	2.0	35.0	syn3-normal
78	28.9026246983	33.0	31.0	35.0	2.0	36.0	syn3-normal
80	28.6907390593	33.0	30.5	35.0	2.0	36.0	syn3-normal
82	28.5531855977	33.0	30.0	35.0	2.0	36.0	syn3-normal
84	28.451611871	33.0	30.5	35.0	2.0	36.0	syn3-normal
86	28.1261456068	33.0	29.5	35.0	2.0	36.0	syn3-normal
88	27.8915603123	33.0	29.5	35.0	2.0	36.0	syn3-normal
90	27.6881918441	33.0	29.0	35.0	2.0	36.0	syn3-normal
92	27.2757435138	33.0	28.5	35.0	2.0	36.0	syn3-normal
94	26.8943059287	33.0	28.0	35.0	2.0	35.5	syn3-normal
96	26.3058979339	32.0	27.0	34.5	2.0	35.0	syn3-normal
98	25.365394396	32.0	24.0	34.0	2.0	35.0	syn3-normal
100	24.1207815215	31.5	11.0	33.5	2.0	35.0	syn3-normal
