chromosome	start	end	gene	log2	depth	probes	weight	ci_lo	ci_hi	pi_lo	pi_hi
chr21	18902442	18981704	-	2.11726	27.813	41	0.999812	-0.34612	5.79755	-1.90738	14.6188
chr21	18982204	19616620	-	12.5249	4.93192	27	3.19914	5.35845	13.8023	-1.21275	14.7357
chr21	19617120	19776176	-	1.66271	22.97	77	1.80024	-0.365339	3.65891	-1.83935	15.265
chr21	19776676	22642699	-	13.9304	0.378438	25	12.8529	13.6326	14.1521	-1.03393	14.6609
chr21	22643199	22911056	-	5.70886	12.1822	61	1.97137	1.75736	8.48534	-2.69124	14.9171
chr21	22911556	26957280	-	13.5446	1.0102	52	18.4333	13.0519	13.8168	-1.73835	14.6877
chr21	26957780	27142599	-	2.1974	28.8482	83	2.15709	-0.219901	5.08541	-1.55267	15.3575
chr21	27143099	28208015	-	10.9541	10.5143	82	5.72274	6.84257	12.5316	-0.748126	15.9008
chr21	28208515	28338978	-	2.60104	33.6613	67	1.70474	-0.194368	6.97503	-0.960827	9.80561
chr21	28339478	30247955	-	13.4168	1.05354	31	8.80703	12.4552	13.8068	-1.1592	14.4554
chr21	30248455	30465245	-	0.539025	29.844	180	4.07495	-0.199072	2.69658	-1.90753	14.9455
chr21	30465745	33031320	-	8.48636	16.3435	367	16.3988	6.22303	9.90873	-1.11475	15.8749
chr21	33031820	33078888	-	-0.235412	32.6405	68	1.45143	-0.385395	-0.118541	-1.12454	0.711136
chr21	33079388	33311691	-	12.7741	5.26301	13	1.1931	-0.791187	14.759	-1.6196	15.6278
chr21	33312191	33640575	-	8.91178	18.7769	39	1.95843	-0.107173	12.2928	-0.774129	14.6011
chr21	33641075	34186239	-	1.17856	39.3844	394	8.8915	0.12774	2.27003	-1.44007	15.4707
chr21	34186739	34613434	-	10.3268	14.695	42	2.55454	2.89521	12.8206	-1.18144	14.8423
chr21	34613934	35288338	-	1.40852	36.7727	413	9.6444	0.239278	3.36371	-1.79917	15.315
chr21	35288838	36265528	-	7.12943	22.5404	199	7.55564	3.82452	9.43455	-2.59935	15.5432
chr21	36266028	37407628	-	13.8456	1.50366	16	5.20561	11.9282	14.2704	-0.647068	14.7638
chr21	37408128	37570555	-	3.74758	35.5926	66	1.86401	-0.0211598	7.90188	-0.950442	15.0681
chr21	37571055	37788908	-	0.619397	41.7939	166	3.65409	-0.122365	1.97031	-1.68541	15.6876
chr21	37789408	38071291	-	13.0322	5.27556	10	1.37295	-0.238744	14.1689	-0.58694	14.7135
chr21	38071791	38139833	-	-0.0491358	50.3757	56	1.19536	-0.239043	0.0792317	-2.12647	0.620418
chr21	38140333	38437163	-	8.78074	17.4379	40	1.8547	2.62467	11.7356	-2.77977	15.1871
chr21	38437663	38613192	-	0.414145	32.1002	144	3.28001	-0.283801	1.96046	-2.6444	15.3273
chr21	38613692	40546739	-	9.95128	13.1329	197	11.5337	7.09851	11.5367	-1.07612	15.0929
chr21	40547239	40887675	-	1.73995	29.2445	193	4.7008	0.297106	3.41768	-1.90186	15.2517
chr21	40888175	42538741	-	9.22069	15.3286	196	9.92082	6.43413	10.997	-2.43234	15.0393
chr21	42539241	46958115	-	2.55709	45.9998	2035	52.6103	2.00241	3.9287	-2.06488	15.5294
chr21	46958615	47315338	-	13.581	4.43205	10	1.69409	0.0441196	14.5386	-0.193844	14.9325
chr21	47315838	48111423	-	0.888247	51.0344	614	14.2438	0.408591	2.91946	-1.1653	14.945
chr22	16050500	51244066	-	0	0	232	155.123	0	0	0	0
chrX	60500	58581512	-	0	0	389	257.463	0	0	0	0
chrX	61682512	155260060	-	0	0	622	414.23	0	0	0	0
chrY	10500	28818861	-	1	0	170	111.791	1	1	1	1
chrY	58819861	59363066	-	1	0	4	2.18834	1	1	1	1
