chromosome	start	end	gene	log2	depth	probes	weight	ci_lo	ci_hi	pi_lo	pi_hi
chr21	18902442	18981704	-	2.11537	27.8179	41	1.00073	-0.345871	5.79394	-1.90641	14.6188
chr21	18982204	19616620	-	12.5124	4.93365	27	3.19961	5.31454	13.7935	-1.21506	14.7357
chr21	19617120	19776176	-	1.66119	22.9736	77	1.80193	-0.364985	3.65603	-1.83899	15.265
chr21	19776676	22642699	-	13.9026	0.378524	25	12.853	13.6011	14.1334	-1.03381	14.6609
chr21	22643199	22911056	-	5.70458	12.181	61	1.97252	1.75388	8.48186	-2.69056	14.9171
chr21	22911556	26957280	-	13.5272	1.01107	52	18.4339	13.0375	13.7964	-1.73808	14.6766
chr21	26957780	27142599	-	2.18639	28.8512	83	2.15909	-0.219352	5.04855	-1.55241	15.3143
chr21	27143099	28208015	-	10.936	10.5227	82	5.72427	6.81937	12.5106	-0.74696	15.8548
chr21	28208515	28338978	-	2.59892	33.6682	67	1.70626	-0.193955	6.97124	-0.958187	9.80565
chr21	28339478	30247955	-	13.4119	1.05457	31	8.80745	12.4456	13.802	-1.15907	14.4554
chr21	30248455	30465245	-	0.53842	29.8423	180	4.0791	-0.198933	2.69409	-1.9074	14.9455
chr21	30465745	33031320	-	8.48137	16.3515	367	16.406	6.21913	9.90398	-1.11484	15.8749
chr21	33031820	33078888	-	-0.23543	32.6316	68	1.45302	-0.385443	-0.11843	-1.12278	0.71117
chr21	33079388	33311691	-	12.7305	5.26677	13	1.1933	-0.791224	14.719	-1.6195	15.5877
chr21	33312191	33640575	-	8.90815	18.7896	39	1.95924	-0.106927	12.2908	-0.774004	14.6011
chr21	33641075	34186239	-	1.1776	39.3861	394	8.90043	0.127888	2.26818	-1.43993	15.4707
chr21	34186739	34613434	-	10.3141	14.7031	42	2.55535	2.89269	12.8001	-1.18131	14.8343
chr21	34613934	35288338	-	1.40719	36.7711	413	9.65385	0.239114	3.36095	-1.79906	15.315
chr21	35288838	36265528	-	7.12042	22.5513	199	7.55987	3.82169	9.42382	-2.59943	15.4975
chr21	36266028	37407628	-	13.8302	1.50496	16	5.20582	11.8969	14.2462	-0.645268	14.7258
chr21	37408128	37570555	-	3.74481	35.5999	66	1.86551	-0.0209106	7.8981	-0.950313	15.0681
chr21	37571055	37788908	-	0.618803	41.792	166	3.65791	-0.122163	1.96852	-1.68528	15.6876
chr21	37789408	38071291	-	13.0307	5.28071	10	1.3731	-0.238592	14.1685	-0.586815	14.7135
chr21	38071791	38139833	-	-0.0491868	50.3639	56	1.19667	-0.239018	0.078924	-2.12577	0.62188
chr21	38140333	38437163	-	8.77689	17.4494	40	1.8555	2.62229	11.733	-2.77968	15.1871
chr21	38437663	38613192	-	0.413625	32.0996	144	3.2834	-0.283796	1.9584	-2.64427	15.3273
chr21	38613692	40546739	-	9.92497	13.1422	197	11.5376	7.06361	11.5153	-1.07674	15.0344
chr21	40547239	40887675	-	1.73836	29.2453	193	4.70529	0.296828	3.41482	-1.90125	15.2517
chr21	40888175	42538741	-	9.20998	15.3386	196	9.92463	6.42695	10.9873	-2.4322	15.0393
chr21	42539241	46958115	-	2.55271	46.0068	2035	52.6563	1.99812	3.92249	-2.06475	15.4748
chr21	46958615	47315338	-	13.5671	4.43625	10	1.69422	0.0443913	14.5161	-0.193719	14.9003
chr21	47315838	48111423	-	0.887554	51.0375	614	14.2578	0.408414	2.91705	-1.16469	14.945
chr22	16050500	51244066	-	0	0	232	155.123	0	0	0	0
chrX	60500	58581512	-	0	0	389	257.463	0	0	0	0
chrX	61682512	155260060	-	0	0	622	414.23	0	0	0	0
chrY	10500	28818861	-	1	0	170	111.791	1	1	1	1
chrY	58819861	59363066	-	1	0	4	2.18834	1	1	1	1
