chromosome	start	end	gene	log2	depth	probes	weight	ci_lo	ci_hi	pi_lo	pi_hi
chr21	22643199	22911056	-	6.1504	12.3874	61	1.95244	2.34081	8.99036	-3.22154	15.4752
chr21	22911556	26945540	-	13.7439	0.921128	49	18.3355	13.3076	13.9943	-1.5632	14.8218
chr21	26946040	27425874	-	4.84542	24.2068	133	4.04595	1.01977	7.75546	-1.77218	15.3605
chr21	27426374	28208015	-	12.5614	6.07012	35	3.86413	8.03576	13.7677	-0.736778	15.0797
chr21	28208515	28338978	-	2.5695	32.2772	67	1.67991	-0.239077	6.9164	-1.23187	9.73649
chr21	28339478	30247955	-	13.5383	0.9655	31	8.80009	12.6496	13.9492	-1.52086	14.6159
chr21	30248455	30299716	-	5.33935	15.9487	15	0.475541	-0.896794	11.0097	-2.54283	13.63
chr21	30300216	30465245	-	0.0680474	31.3681	165	3.53148	-0.167406	1.1245	-1.81117	13.5065
chr21	30465745	33031320	-	8.68859	16.0029	367	16.2809	6.42036	10.2013	-1.16093	15.6671
chr21	33031820	33078888	-	-0.218332	32.8976	68	1.42541	-0.360286	-0.110467	-1.10486	0.624752
chr21	33079388	33640575	-	10.8829	14.0561	52	3.13492	3.12628	13.7043	-1.73337	16.3906
chr21	33641075	34186239	-	1.17163	39.4127	394	8.74515	0.119048	2.25204	-1.58612	15.6076
chr21	34186739	34613434	-	10.4009	13.866	42	2.54131	2.89608	12.7889	-1.22805	15.147
chr21	34613934	35288338	-	1.46426	36.2844	413	9.48947	0.26627	3.45948	-1.81699	15.9521
chr21	35288838	36265528	-	7.09921	21.8785	199	7.4865	3.86444	9.35533	-2.43895	15.4661
chr21	36266028	37407628	-	13.6165	1.49233	16	5.2021	11.6981	14.007	-0.457217	14.5914
chr21	37408128	38613192	-	3.62051	31.9394	483	13.0412	1.00595	5.48255	-2.60831	15.612
chr21	38613692	40546739	-	10.1045	12.9895	197	11.4688	7.17989	11.6712	-1.81533	15.443
chr21	40547239	40887675	-	1.80514	29.0002	193	4.62729	0.32352	3.52999	-1.98212	15.826
chr21	40888175	42538741	-	9.38705	14.8205	196	9.85838	6.53593	11.1544	-2.83081	15.6131
chr21	42539241	46958115	-	2.6236	45.7858	2036	51.8564	2.01435	3.98117	-2.03453	15.3853
chr21	46958615	47315338	-	13.7197	4.24448	10	1.69186	-0.0167028	14.7108	-0.385565	15.2262
chr21	47315838	48111423	-	0.891836	50.2661	614	14.0148	0.406531	2.96681	-1.00204	15.589
chr22	16050500	51244066	-	0	0	232	155.123	0	0	0	0
chrX	60500	58581512	-	0	0	389	257.463	0	0	0	0
chrX	61682512	155260060	-	0	0	622	414.23	0	0	0	0
chrY	10500	28818861	-	1	0	170	111.791	1	1	1	1
chrY	58819861	59363066	-	1	0	4	2.18834	1	1	1	1
