Sample	Gene	Chr	Start	End	Length	Log2ratio	Sig	BP_Whole	Amp_Del	Ab_Seg	Total_Seg	Ab_log2ratio	Log2r_Diff	Ab_Seg_Loc	Ab_Samples	Ab_Samples_Pcnt
syn3-tumor	KRTAP23-1	chr21	31720424	31721180	1514	-0.01					1					
syn3-tumor	AATBC	chr21	45231157	45232562	2812	-0.04					1					
syn3-tumor	SUMO3	chr21	46225287	46238147	7586	-0.02					5					
syn3-tumor	DSCR4	chr21	39426610	39493599	3652	0.03					3					
syn3-tumor	KCNJ15	chr21	39668599	39673962	7298	-0.08					2					
syn3-tumor	B3GALT5-AS1	chr21	40969307	40984521	7008	0.04					5					
syn3-tumor	LINC00189	chr21	30566161	30660607	2462	0.08					2					
syn3-tumor	PIGP	chr21	38437665	38445128	5652	0.045					4					
syn3-tumor	KRTAP13-4	chr21	31802323	31803543	2442	-0.15					1					
syn3-tumor	APP	chr21	27252968	27543412	27600	-0.02					20					
syn3-tumor	KRTAP10-4	chr21	45993330	45995410	4162	-0.00					1					
syn3-tumor	SLC19A1	chr21	46934606	46958115	10916	0.015					6					
syn3-tumor	SON	chr21	34914910	34950013	32856	-0.01					12					
syn3-tumor	KRTAP19-5	chr21	31873912	31874667	1512	-0.05					1					
syn3-tumor	POTED	chr21	14982272	15014079	10324	0.04					7					
syn3-tumor	FAM3B	chr21	42688398	42729364	11096	0					8					
syn3-tumor	KRTAP10-3	chr21	45977643	45978807	2330	0.05					1					
syn3-tumor	ANKRD20A11P	chr21	15317124	15352472	7836	0.05					6					
syn3-tumor	PAXBP1	chr21	34105930	34144206	27118	0.01					18					
syn3-tumor	KRTAP13-2	chr21	31743710	31744713	2008	-0.11					1					
syn3-tumor	TIAM1	chr21	32490596	32906652	41316	-0.015					28					
syn3-tumor	KRTAP25-1	chr21	31661324	31662020	1394	0.04					1					
syn3-tumor	MIR802	chr21	37092723	37093346	1248	-0.07					1					
syn3-tumor	MIR4327	chr21	31747369	31747931	1126	-0.08					1					
syn3-tumor	MIR155HG	chr21	26946042	26946594	1106	-0.00					1					
syn3-tumor	CHAF1B	chr21	37758146	37788908	15968	0.02					13					
syn3-tumor	MIR5009	chr21	28833302	28833944	1286	0.03					1					
syn3-tumor	BAGE	chr21	11097344	11099021	2602	0.02					2					
syn3-tumor	GRIK1	chr21	30925581	31312073	26126	0					20					
syn3-tumor	DIP2A	chr21	47878778	47988133	48814	-0.015					32					
syn3-tumor	RCAN1	chr21	35888926	35897885	7996	0.02					6					
syn3-tumor	MIR3156-3	chr21	14778448	14779003	1112	0.15					1					
syn3-tumor	SETD4	chr21	37408130	37431435	15426	-0.02					12					
syn3-tumor	KRTAP20-3	chr21	32014927	32015652	1452	0.04					1					
syn3-tumor	MIR3197	chr21	42539243	42539788	1092	-0.06					1					
syn3-tumor	JAM2	chr21	27011855	27087254	13146	-0.005					10					
syn3-tumor	DSCR3	chr21	38597566	38639863	9670	-0.02					7					
syn3-tumor	ZBTB21	chr21	43406831	43414436	9712	-0.06					2					
syn3-tumor	LRRC3	chr21	45876217	45878951	5470	-0.00					1					
syn3-tumor	KRTAP15-1	chr21	31812362	31813417	2112	-0.00					1					
syn3-tumor	NRIP1	chr21	16333308	16365744	16414	0.02					4					
syn3-tumor	MIRLET7C	chr21	17911928	17912491	1128	0.08					1					
syn3-tumor	MCM3AP-AS1	chr21	47650024	47670159	3044	-0.1					2					
syn3-tumor	RBM11	chr21	15588286	15599833	6574	0.01					5					
syn3-tumor	NCAM2	chr21	22370584	22911056	26542	0.03					19					
syn3-tumor	LOC102724652	chr21	44588927	44592609	5606	0.055					2					
syn3-tumor	SNORA80A	chr21	33749182	33749886	1410	0.09					1					
syn3-tumor	KRTAP19-7	chr21	31933125	31933823	1398	0.04					1					
syn3-tumor	KRTAP20-2	chr21	32007380	32008142	1526	0.04					1					
syn3-tumor	SAMSN1	chr21	15857992	15956384	15840	-0.01					11					
syn3-tumor	PRMT2	chr21	48056608	48084459	15458	0.02					12					
syn3-tumor	KRTAP13-3	chr21	31797460	31798424	1930	-0.00					1					
syn3-tumor	LINC01547	chr21	46353420	46357790	6376	0.03					2					
syn3-tumor	C21orf140	chr21	35771756	35773618	3726	-0.00					1					
syn3-tumor	LINC00314	chr21	29394842	29395489	1296	-0.10					1					
syn3-tumor	COL18A1-AS1	chr21	46840941	46842756	3076	-0.06					2					
syn3-tumor	LINC01549	chr21	18813829	18821495	2360	-0.055					2					
syn3-tumor	DOPEY2	chr21	37536772	37666783	50390	0					34					
syn3-tumor	MX2	chr21	42735300	42780434	19248	0.03					13					
syn3-tumor	C21orf91	chr21	19164900	19190919	7136	-0.04					4					
syn3-tumor	SAMSN1-AS1	chr21	15955663	15956384	1444	0.05					1					
syn3-tumor	ADAMTS5	chr21	28290251	28338978	20764	-0.01					13					
syn3-tumor	GABPA	chr21	27113667	27142599	12618	-0.075					8					
syn3-tumor	KRTAP10-6	chr21	46011008	46012649	3284	0.04					1					
syn3-tumor	BTG3	chr21	18965184	18981704	8696	-0.00					5					
syn3-tumor	GART	chr21	34876196	34911850	23824	-0.045					14					
syn3-tumor	MRPS6	chr21	35445573	35515131	5754	-0.04					4					
syn3-tumor	KCNE1	chr21	35821279	35822188	1820	0.01					1					
syn3-tumor	SH3BGR	chr21	40823576	40887675	11834	-0.03	29	BP	Del	1	9	-1.6	1.6	5(40870271-40870834)	1	0.5
syn3-tumor	CLDN14	chr21	37833026	37834288	2526	-0.02					1					
syn3-tumor	IFNAR1	chr21	34697120	34728080	12440	0.02					9					
syn3-tumor	KRTAP10-10	chr21	46057067	46058578	3024	0.07					1					
syn3-tumor	PWP2	chr21	45527005	45550898	28136	0.01					14					
syn3-tumor	SIM2	chr21	38071793	38121725	18252	0.01					13					
syn3-tumor	KRTAP6-2	chr21	31970707	31971440	1468	-0.12					1					
syn3-tumor	CCT8	chr21	30428526	30446204	14938	-0.04					11					
syn3-tumor	GRIK1-AS1	chr21	31130882	31131578	1394	0.04					1					
syn3-tumor	C21orf59	chr21	33973958	33984783	8486	0.025					6					
syn3-tumor	C21orf58	chr21	47721613	47742821	11034	-0.01					7					
syn3-tumor	LINC00479	chr21	43132797	43134710	3610	0					2					
syn3-tumor	CRYAA	chr21	44588927	44592609	5606	0.055					2					
syn3-tumor	TRPM2	chr21	45773348	45861970	44732	0.01					29					
syn3-tumor	C21orf62	chr21	34165720	34186239	4908	0.01					3					
syn3-tumor	PAXBP1-AS1	chr21	34113509	34114093	1170	0.10					1					
syn3-tumor	EVA1C	chr21	33784881	33887895	32190	0.02					16					
syn3-tumor	PFKL	chr21	45719770	45747018	26852	-0.015					16					
syn3-tumor	IGSF5	chr21	41117209	41173834	11722	0.00					9					
syn3-tumor	C21orf33	chr21	45553333	45565761	11688	0.01					8					
syn3-tumor	BRWD1	chr21	40558686	40685667	55162	0.02					36					
syn3-tumor	LINC01548	chr21	34537690	34542752	4424	-0.14					3					
syn3-tumor	MIR99AHG	chr21	17442544	17764193	7358	-0.08					6					
syn3-tumor	DNAJC28	chr21	34860297	34861842	3092	0.03					1					
syn3-tumor	KRTAP19-3	chr21	31863741	31864587	1694	-0.04					1					
syn3-tumor	UBASH3A	chr21	43823800	43867587	18816	-0.04					14					
syn3-tumor	KRTAP10-1	chr21	45958866	45960213	2696	0.03					1					
syn3-tumor	KRTAP22-1	chr21	31973232	31973893	1324	0.03					1					
syn3-tumor	BACE2	chr21	42539934	42648068	13156	-0.01					9					
syn3-tumor	KRTAP19-1	chr21	31852038	31852815	1556	0.04					1					
syn3-tumor	MAP3K7CL	chr21	30457903	30547430	7906	-0.05					6					
syn3-tumor	KRTAP26-1	chr21	31691430	31692797	2736	-0.02					1					
syn3-tumor	ITSN1	chr21	35014577	35260785	56838	-0.01					39					
syn3-tumor	TCP10L	chr21	33946656	33956866	9278	-0.01					5					
syn3-tumor	HUNK	chr21	33245778	33374580	19152	0.04					13					
syn3-tumor	DSCR8	chr21	39494110	39528739	4684	-0.07					4					
syn3-tumor	B3GALT5	chr21	41032251	41034934	5368	0.03					1					
syn3-tumor	HSPA13	chr21	15743240	15755704	9614	-0.04					7					
syn3-tumor	KRTAP19-6	chr21	31913677	31914366	1380	0.01					1					
syn3-tumor	TFF3	chr21	43731949	43735844	4052	0.04					3					
syn3-tumor	RIPPLY3	chr21	38378823	38390747	5144	0.005					4					
syn3-tumor	MX1	chr21	42803743	42830922	16858	-0.03					12					
syn3-tumor	TFF2	chr21	43766337	43771322	5020	-0.005					4					
syn3-tumor	KRTAP24-1	chr21	31654192	31655420	2458	0.01					1					
syn3-tumor	LOC100129027	chr21	47249615	47250575	1922	0.01					1					
syn3-tumor	SIK1	chr21	44834212	44846326	17630	0.01					7					
syn3-tumor	FAM207A	chr21	46359692	46396978	9074	0.04					7					
syn3-tumor	ABCC13	chr21	15646156	15672208	8328	0.015					6					
syn3-tumor	KRTAP12-3	chr21	46077621	46078443	1646	0.02					1					
syn3-tumor	ATP5O	chr21	35275583	35288338	8036	-0.03					6					
syn3-tumor	LINC00158	chr21	26801948	26803886	2622	-0.02					2					
syn3-tumor	TFF1	chr21	43782318	43786832	3460	-0.05					3					
syn3-tumor	LIPI	chr21	15481049	15579541	15092	0.02					12					
syn3-tumor	YBEY	chr21	47706582	47717730	5714	-0.025					4					
syn3-tumor	CSTB	chr21	45193796	45196413	3300	0.005					2					
syn3-tumor	KRTAP13-1	chr21	31768122	31769326	2410	0.05					1					
syn3-tumor	S100B	chr21	48018976	48022604	2748	-0.01					2					
syn3-tumor	TMEM50B	chr21	34821462	34851402	11302	0.02					8					
syn3-tumor	PCNT	chr21	47743893	47865493	67626	-0.01					41					
syn3-tumor	RWDD2B	chr21	30378513	30391846	5358	-0.04					3					
syn3-tumor	CLDN17	chr21	31537997	31539244	2496	-0.19					1					
syn3-tumor	LOC102724428	chr21	44834212	44846326	17630	0.01					7					
syn3-tumor	PCP4	chr21	41239121	41301314	4076	0.04					3					
syn3-tumor	CBS	chr21	44473740	44492468	18828	-0.01					14					
syn3-tumor	DSCAM	chr21	41384532	42219129	56122	-0.045					40					
syn3-tumor	PCBP3	chr21	47269693	47361870	20138	-0.04					14					
syn3-tumor	KRTAP19-2	chr21	31859256	31859995	1480	-0.05					1					
syn3-tumor	CXADR	chr21	18885190	18938267	13674	-0.02					11					
syn3-tumor	KRTAP21-2	chr21	32118984	32119778	1590	0.07					1					
syn3-tumor	MIS18A	chr21	33641077	33651560	6234	-0.01					5					
syn3-tumor	CRYZL1	chr21	34961781	35013804	18134	0.01					14					
syn3-tumor	ICOSLG	chr21	45642639	45661113	10948	0.00					7					
syn3-tumor	KCNE2	chr21	35742477	35743658	2364	-0.04					1					
syn3-tumor	TMPRSS15	chr21	19642016	19776176	29740	0.005					22					
syn3-tumor	UMODL1-AS1	chr21	43528140	43528738	1198	0.08					1					
syn3-tumor	MIR155	chr21	26946042	26946594	1106	-0.00					1					
syn3-tumor	PKNOX1	chr21	44424186	44453869	16200	-0.04					11					
