GC_Content	Count	sample
34	22240.0	syn3-tumor
35	23529.5	syn3-tumor
36	24309.5	syn3-tumor
37	24799.0	syn3-tumor
38	25468.5	syn3-tumor
39	26033.0	syn3-tumor
40	26489.5	syn3-tumor
41	26513.5	syn3-tumor
42	26440.5	syn3-tumor
43	26628.5	syn3-tumor
44	26921.5	syn3-tumor
45	27237.5	syn3-tumor
46	27411.0	syn3-tumor
47	27708.0	syn3-tumor
48	28222.0	syn3-tumor
49	28504.5	syn3-tumor
50	28559.0	syn3-tumor
51	28609.0	syn3-tumor
52	28386.5	syn3-tumor
53	28120.5	syn3-tumor
54	28288.0	syn3-tumor
55	28464.5	syn3-tumor
56	28521.5	syn3-tumor
57	29076.5	syn3-tumor
58	29588.0	syn3-tumor
59	29728.5	syn3-tumor
60	29789.0	syn3-tumor
61	29582.5	syn3-tumor
62	28866.0	syn3-tumor
63	28089.0	syn3-tumor
64	26989.0	syn3-tumor
65	25367.0	syn3-tumor
66	23663.0	syn3-tumor
67	22020.5	syn3-tumor
68	20184.0	syn3-tumor
69	17857.5	syn3-tumor
70	15265.0	syn3-tumor
71	12524.0	syn3-tumor
72	10051.0	syn3-tumor
73	8162.0	syn3-tumor
74	6707.5	syn3-tumor
75	5559.5	syn3-tumor
76	4801.5	syn3-tumor
77	4509.5	syn3-tumor
78	3938.5	syn3-tumor
79	3176.0	syn3-tumor
80	2828.0	syn3-tumor
81	2438.0	syn3-tumor
82	1889.0	syn3-tumor
83	1411.5	syn3-tumor
84	1067.0	syn3-tumor
85	718.0	syn3-tumor
86	460.5	syn3-tumor
87	316.5	syn3-tumor
88	221.5	syn3-tumor
89	149.5	syn3-tumor
90	107.5	syn3-tumor
91	67.0	syn3-tumor
92	42.0	syn3-tumor
93	38.0	syn3-tumor
94	31.5	syn3-tumor
95	16.0	syn3-tumor
96	7.0	syn3-tumor
97	7.0	syn3-tumor
98	4.0	syn3-tumor
99	3.0	syn3-tumor
100	2.5	syn3-tumor
